symbol,chg_corr,chg_t,lvl_corr,lvl_coint_p,n,rank_chg,rank_lvl_coint
SN,-0.03759889671017672,-0.34484341525702594,-0.7570068038236967,0.116773378323562,86,723,244.0
HSBC,-0.037897815929894434,-0.34758892136461883,0.0454794308047342,0.5833805354998595,86,724,1220.0
IVZ,-0.03790519883978978,-0.3476567329184331,-0.4000929120970651,0.3865603120048831,86,725,800.0
BX,-0.038354118322214345,-0.3517801371179044,-0.46009712780885753,0.2770533333101338,86,726,591.0
GENI,-0.03848425273830551,-0.352975484327478,-0.6736561245788502,0.16217757246896192,86,727,334.0
BMY,-0.03872737666510572,-0.355208742781479,-0.7385252034342369,0.07969573933807428,86,728,160.0
DNB,-0.038967711231948504,-0.3574164411622201,-0.7213861710466787,0.11337047465871736,86,729,230.0
XOM,-0.03901512356928976,-0.35785197526798157,-0.22730503693537904,0.4717750443021247,86,730,949.0
LEGN,-0.039278332255808436,-0.3602698786514298,-0.1459670903924911,0.5808901020760993,86,731,1209.0
ESI,-0.039314188252787846,-0.3605992669576115,0.48049804103340477,0.24547126003758896,86,732,527.0
ARQT,-0.03964676934528712,-0.36365456375223715,0.04119147150205581,0.5702593489180156,86,733,1162.0
STM,-0.039672081713118486,-0.3638871038527122,0.7490099387359082,0.12227100242691358,86,734,254.0
RMBS,-0.04021716208590849,-0.36889482867862383,0.8584480651517342,0.002339397321982549,86,735,9.0
CL,-0.04022753345177543,-0.3689901149599092,-0.5830063748187106,0.2545465170899921,86,736,539.0
BMEA,-0.04026125045195271,-0.36929988863550983,-0.4382707221166149,0.176977613295629,86,737,365.0
CDLX,-0.04044390194493418,-0.3709780143730635,0.7872431732316942,0.028825878828716997,86,738,56.0
UBXG,-0.04045803634571483,-0.3711078769029724,0.07601388849010154,0.5629801131251193,86,739,1132.0
HR,-0.040597432508106546,-0.37238861796206807,-0.38730444896408506,0.4062273442903357,86,740,834.0
VIAV,-0.0406170675879563,-0.37256902247414886,-0.6320630167622077,0.16821958180422436,86,741,350.0
TMO,-0.040906221802444465,-0.375225783260419,-0.8048107010312041,0.022843441290537007,86,742,47.0
PGR,-0.04118553791048638,-0.3777922407827848,-0.666837530733477,0.19925217853859345,86,743,413.0
NUE,-0.04138834355149492,-0.37965574799755847,0.692373875712341,0.0513743162417826,86,744,98.0
VIR,-0.041398829013286016,-0.3797520963652932,0.5138281904253869,0.25713966914239733,86,745,543.0
SMFG,-0.042264430481064055,-0.3877063349824616,0.5170794063789468,0.13383423668957556,86,746,285.0
CENX,-0.042452982902006275,-0.3894391079484723,0.6782077007073283,0.11875498986672378,86,747,248.0
ICE,-0.04272393735019308,-0.3919292181928028,-0.5846498538720033,0.29115245592066175,86,748,614.0
O,-0.04319622467948999,-0.39626981394201793,-0.6747267966710034,0.17281714153710043,86,749,358.0
TALO,-0.04356628167308845,-0.39967103916892216,0.25911299645484437,0.39573486691577464,86,750,811.0
TXN,-0.04366358799228712,-0.4005654171151022,-0.0981633966130515,0.5490220297869359,86,751,1094.0
