k,direction,coef,t_stat,p_value,r_squared,n_obs,n_days,k_used,dof,reliability_tier,ticker,bar_freq
-6,y_leads_x,0.04002115001075243,3.5351368308074096,0.0004075640536343784,0.640138905694156,100,8,10,72,high,KXECDJT316,600s
-5,y_leads_x,0.03108472195490823,2.817165434634466,0.004844956273599345,0.640138905694156,100,8,10,72,high,KXECDJT316,600s
-4,y_leads_x,0.010215371326493755,6.4831747328951606,8.981238040648183e-11,0.640138905694156,100,8,10,72,high,KXECDJT316,600s
-3,y_leads_x,-0.008728100499809176,-1.6806491559463146,0.0928310818557984,0.640138905694156,100,8,10,72,high,KXECDJT316,600s
-2,y_leads_x,-0.03664756498903354,-2.4103035710779332,0.015939251811513254,0.640138905694156,100,8,10,72,high,KXECDJT316,600s
-1,y_leads_x,-0.04833917227217014,-3.759794221531169,0.0001700531763140636,0.640138905694156,100,8,10,72,high,KXECDJT316,600s
1,x_leads_y,-0.04914118859352268,-38.32008847767016,0.0,0.640138905694156,100,8,10,72,high,KXECDJT316,600s
2,x_leads_y,-0.03738676043257252,-10.035779054885507,1.0611836102019797e-23,0.640138905694156,100,8,10,72,high,KXECDJT316,600s
3,x_leads_y,-0.009664789975712294,-1.0590333061227029,0.2895846116620707,0.640138905694156,100,8,10,72,high,KXECDJT316,600s
4,x_leads_y,0.00925862801437678,0.6756830871418439,0.4992418762759806,0.640138905694156,100,8,10,72,high,KXECDJT316,600s
5,x_leads_y,0.030095902671550538,2.786796191794594,0.005323194642324733,0.640138905694156,100,8,10,72,high,KXECDJT316,600s
6,x_leads_y,0.03945348092277902,5.650461473857063,1.6001766881669072e-08,0.640138905694156,100,8,10,72,high,KXECDJT316,600s
7,x_leads_y,0.030845146384933166,14.522546706504075,8.720902666925924e-48,0.640138905694156,100,8,10,72,high,KXECDJT316,600s
8,x_leads_y,0.028215817117413403,35.24758677011048,3.735818850264922e-272,0.640138905694156,100,8,10,72,high,KXECDJT316,600s
9,x_leads_y,0.013481687499891877,5.840439483951676,5.206329493941579e-09,0.640138905694156,100,8,10,72,high,KXECDJT316,600s
10,x_leads_y,0.009950859505896005,2.9919089484077013,0.0027723893744537134,0.640138905694156,100,8,10,72,high,KXECDJT316,600s
